Município,Assistente Social,Psicólogo,Psiquiatra,Ações de promoção e prevenção em saúde,Ações complementares de atenção a saude,2017,2018,2019,2020,2021,Column1,AR_TER_km2,POP_EST,IDHM,PIB_P_CAP,CD_MUN
412220 Rio Branco do Sul,1.0,6.0,0.0,975,0,311,240,0,0,0,,,,,,
412230 Rio Negro,5.0,21.0,1.0,140535,0,241,227,0,0,0,,,,,,
412240 Rolândia,7.0,18.0,3.0,129582,0,693,0,0,0,0,,,,,,
412250 Roncador,1.0,3.0,0.0,24736,0,106,83,0,0,0,,,,,,
412260 Rondon,2.0,4.0,0.0,45369,0,68,48,0,0,0,,,,,,
412265 Rosário do Ivaí,2.0,3.0,0.0,0,0,92,109,0,0,0,,,,,,
412270 Sabáudia,2.0,1.0,0.0,17632,0,0,0,0,0,0,,,,,,
412280 Salgado Filho,1.0,2.0,0.0,5736,0,2247,2500,250,0,0,,,,,,
412290 Salto do Itararé,1.0,3.0,0.0,6293,0,28,9,0,0,0,,,,,,
412300 Salto do Lontra,1.0,2.0,0.0,28722,10825,28825,19385,22635,3113,10825,,,,,,
412310 Santa Amélia,1.0,1.0,0.0,0,0,0,0,0,0,0,,,,,,
412320 Santa Cecília do Pavão,1.0,2.0,0.0,0,0,0,0,0,0,0,,,,,,
412330 Santa Cruz de Monte Castelo,2.0,0.0,0.0,718,0,0,2,0,0,0,,,,,,
412340 Santa Fé,2.0,6.0,0.0,14017,0,0,36,0,0,0,,,,,,
412350 Santa Helena,2.0,7.0,0.0,94888,0,144,84,0,0,0,,,,,,
412360 Santa Inês,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,,
412370 Santa Isabel do Ivaí,0.0,2.0,0.0,18677,0,20,27,0,0,0,,,,,,
412380 Santa Izabel do Oeste,2.0,3.0,0.0,24899,12498,15240,18776,20074,16905,12498,,,,,,
412382 Santa Lúcia,1.0,1.0,0.0,432,0,24,17,0,0,0,,,,,,
412385 Santa Maria do Oeste,3.0,3.0,0.0,0,0,21,19,0,0,0,,,,,,
412390 Santa Mariana,3.0,2.0,0.0,15463,0,90,61,0,0,0,,,,,,
412395 Santa Mônica,0.0,1.0,0.0,535,0,15,0,0,0,0,,,,,,
412402 Santa Tereza do Oeste,1.0,5.0,0.0,76235,0,0,0,0,0,0,,,,,,
412405 Santa Terezinha de Itaipu,1.0,7.0,0.0,154997,0,79,68,0,0,0,,,,,,
412400 Santana do Itararé,2.0,2.0,0.0,21925,0,56,61,0,0,0,,,,,,
412410 Santo Antônio da Platina,6.0,19.0,1.0,57522,0,211,0,0,0,0,,,,,,
412420 Santo Antônio do Caiuá,1.0,1.0,0.0,225,0,0,0,0,0,0,,,,,,
412430 Santo Antônio do Paraíso,1.0,1.0,0.0,0,0,0,0,0,0,0,,,,,,
412440 Santo Antônio do Sudoeste,3.0,9.0,0.0,0,0,25103,26289,23652,3976,0,,,,,,
412450 Santo Inácio,3.0,2.0,0.0,4499,0,69,18,0,0,0,,,,,,
412460 São Carlos do Ivaí,1.0,1.0,0.0,4682,0,0,0,0,0,0,,,,,,
412470 São Jerônimo da Serra,3.0,4.0,0.0,786,0,0,0,0,0,0,,,,,,
412480 São João,0.0,3.0,0.0,25072,662,95,96,24,22,662,,,,,,
412490 São João do Caiuá,1.0,1.0,0.0,330,0,66,52,0,0,0,,,,,,
412500 São João do Ivaí,3.0,1.0,0.0,1388,0,232,99,0,0,0,,,,,,
412510 São João do Triunfo,3.0,1.0,0.0,5311,0,0,0,0,0,0,,,,,,
412520 São Jorge d'Oeste,3.0,3.0,0.0,34243,0,126,0,0,0,0,,,,,,
412530 São Jorge do Ivaí,1.0,4.0,0.0,14832,0,0,0,0,0,0,,,,,,
412535 São Jorge do Patrocínio,1.0,2.0,0.0,36269,23656,8239,68,3531,16154,23656,,,,,,
412540 São José da Boa Vista,2.0,3.0,0.0,29681,0,92,7,0,0,0,,,,,,
412545 São José das Palmeiras,0.0,0.0,0.0,535,0,0,0,0,0,0,,,,,,
412550 São José dos Pinhais,19.0,78.0,9.0,341631,0,2812,1932,0,0,0,,,,,,
412555 São Manoel do Paraná,0.0,1.0,0.0,22403,0,10,3,0,0,0,,,,,,
412560 São Mateus do Sul,4.0,8.0,0.0,2293,0,291,304,0,0,0,,,,,,
412570 São Miguel do Iguaçu,3.0,7.0,0.0,46888,0,157,119,0,0,0,,,,,,
412575 São Pedro do Iguaçu,2.0,2.0,0.0,0,0,0,0,0,0,0,,,,,,
412580 São Pedro do Ivaí,2.0,3.0,0.0,10549,0,0,0,0,0,0,,,,,,
412590 São Pedro do Paraná,0.0,2.0,0.0,0,0,0,0,0,0,0,,,,,,
412600 São Sebastião da Amoreira,1.0,1.0,0.0,408,0,0,9,0,0,0,,,,,,
412610 São Tomé,1.0,2.0,0.0,15316,0,81,36,0,0,0,,,,,,
412620 Sapopema,1.0,1.0,0.0,13565,0,52,24,0,0,0,,,,,,
412625 Sarandi,8.0,21.0,1.0,48324,0,0,0,0,0,0,,,,,,
412627 Saudade do Iguaçu,1.0,2.0,0.0,3886,0,24,20,0,0,0,,,,,,
412630 Sengés,3.0,2.0,1.0,16481,0,34,0,0,0,0,,,,,,
412635 Serranópolis do Iguaçu,0.0,1.0,0.0,9782,0,18,10,0,0,0,,,,,,
412640 Sertaneja,1.0,2.0,0.0,17466,0,35,24,0,0,0,,,,,,
412650 Sertanópolis,3.0,8.0,1.0,11370,0,141,94,0,0,0,,,,,,
412660 Siqueira Campos,2.0,7.0,0.0,7556,0,0,0,0,0,0,,,,,,
412665 Sulina,2.0,3.0,0.0,12033,0,0,0,0,0,0,,,,,,
412667 Tamarana,2.0,2.0,0.0,558,0,76,68,0,0,0,,,,,,
412670 Tamboara,1.0,2.0,0.0,183,0,23,6,0,0,0,,,,,,
412680 Tapejara,1.0,3.0,0.0,72311,0,0,0,0,0,0,,,,,,
412690 Tapira,1.0,2.0,0.0,1087,0,34,39,0,0,0,,,,,,
412700 Teixeira Soares,2.0,2.0,0.0,8066,0,0,0,0,0,0,,,,,,
412710 Telêmaco Borba,8.0,20.0,1.0,3396,0,385,242,0,0,0,,,,,,
412720 Terra Boa,2.0,6.0,0.0,83830,15496,40490,47390,47016,17775,15496,,,,,,
412730 Terra Rica,2.0,2.0,0.0,92414,0,135,38,0,0,0,,,,,,
412740 Terra Roxa,1.0,3.0,0.0,71487,0,215,190,0,0,0,,,,,,
412750 Tibagi,2.0,3.0,0.0,19021,0,0,0,0,0,0,,,,,,
412760 Tijucas do Sul,1.0,5.0,0.0,31971,0,0,0,0,0,0,,,,,,
412770 Toledo,33.0,87.0,5.0,12173,0,936,647,0,0,0,,,,,,
412780 Tomazina,1.0,2.0,0.0,0,0,2,1,0,0,0,,,,,,
412785 Três Barras do Paraná,2.0,4.0,0.0,1190,0,0,0,0,0,0,,,,,,
412788 Tunas do Paraná,0.0,1.0,0.0,421,0,75,10,0,0,0,,,,,,
412790 Tuneiras do Oeste,1.0,2.0,0.0,0,0,1,5,0,0,0,,,,,,
412795 Tupãssi,1.0,1.0,0.0,625,0,0,0,0,0,0,,,,,,
412796 Turvo,2.0,3.0,0.0,29147,0,175,28,0,0,0,,,,,,
412800 Ubiratã,5.0,12.0,0.0,60894,0,70,1,0,0,0,,,,,,
412810 Umuarama,23.0,89.0,4.0,49808,17361,46047,26384,381,14722,17361,,,,,,
412820 União da Vitória,9.0,35.0,0.0,32075,0,503,395,0,0,0,,,,,,
412830 Uniflor,0.0,0.0,0.0,1676,0,0,0,0,0,0,,,,,,
412840 Uraí,2.0,1.0,0.0,11650,0,14,0,0,0,0,,,,,,
412853 Ventania,1.0,1.0,0.0,0,0,19,0,0,0,0,,,,,,
412855 Vera Cruz do Oeste,1.0,1.0,0.0,2899,0,57,0,0,0,0,,,,,,
412860 Verê,0.0,3.0,0.0,31102,0,105,79,0,0,0,,,,,,
412865 Virmond,2.0,1.0,0.0,43813,0,73,61,0,0,0,,,,,,
412870 Vitorino,1.0,3.0,0.0,993,0,0,0,0,0,0,,,,,,
412850 Wenceslau Braz,3.0,5.0,0.0,45425,0,150,119,0,0,0,,,,,,
412880 Xambrê,1.0,2.0,0.0,3810,0,0,0,0,0,0,,,,,,
