Column1;AR_TER_km2;POP_EST;IDHM;PIB_P_CAP;CD_MUN
4064;9995170;614390;7260;3027924;4110706
4065;5704590;100290;6650;2511459;4110805
4066;1943530;44260;7070;2182045;4110904
4067;3308460;115880;7380;3281256;4110953
4068;2073420;65160;6940;2435268;4111001
4069;2438220;61100;7460;3105655;4111100
4070;2540140;122200;7310;5201654;4111209
4071;3205780;294930;6370;1801757;4111258
4072;12887;27000;6560;2567747;4111308
4073;6078480;140490;6510;2724057;4111407
4074;4315020;318860;73;2561424;4111506
4075;4109070;82940;7060;2407753;4111555
4076;966610;32990;7660;3452135;4111605
4077;1392770;53320;7180;2062886;4111704
4078;6025280;392680;7430;3444235;4111803
4079;4750040;138610;7150;5790985;4111902
4080;1453066;351920;7430;4268452;4112009
4081;1876;212810;7470;3209476;4112108
4082;33565;49480;6960;2946287;4112207
4083;1878020;49290;6960;2025496;4112306
4084;1651850;95730;7120;2688719;4112405
4085;4133860;110670;6890;2202085;4112504
4086;1285150;13090;6820;3137672;4112603
4087;1591780;126870;6870;1523412;4112702
4088;2474960;82510;7050;4057475;4112751
4089;2891730;121080;7;4976988;4112801
4090;3208160;32480;6880;2247619;4112900
4091;3543640;72440;7080;4586917;4112959
4092;2108690;70690;7180;3214838;4113007
4093;1932990;39960;7210;2725996;4113106
4094;2093859;486510;7060;3429229;4113205
4095;5594390;57190;5850;1392776;4113254
4096;6735990;321670;7060;2417513;4113304
4097;3449180;38960;7070;3774285;4113403
4098;1514560;31550;68;2488058;4113429
4099;3613670;44880;6660;3431021;4113452
4100;7224960;233930;7250;2504828;4113502
4101;2409040;48500;7440;3882656;4113601
4102;1652569;5808700;7780;3538329;4113700
4103;9168390;72170;6680;4502298;4113734
4104;1992130;46950;69;1830603;4113759
4105;1210660;49690;71;2092708;4113809
4106;7537130;136970;7080;5224832;4113908
4107;7880610;129000;7190;410626;4114005
4108;2940190;233730;7180;2476197;4114104
4109;3358140;346280;7510;4566287;4114203
4110;3791790;277500;6550;2321418;4114302
4111;2164150;24420;6450;1993053;4114351
4112;1055458;165720;6880;8018085;4114401
4113;5711350;135170;7160;2810994;4114500
4114;7470410;540310;7740;447328;4114609
4115;4862240;55930;7030;1898205;4114708
4116;4755640;361030;7350;4211689;4114807
4117;3844240;87930;6910;3761062;4114906
4118;2323630;70930;6810;1934254;4115002
4119;43317;103270;6390;222389;4115101
4120;4870120;4364720;8080;4444252;4115200
4121;2303650;66550;6980;4268171;4115309
4122;2837930;55620;7580;6261328;4115358
4123;3876120;144070;7220;3157228;4115408
4124;5096320;42830;6140;1914642;4115457
4125;20847;46760;7210;1621885;4115507
4126;6397460;182660;7250;5147822;4115606
4127;1178990;357050;7430;2228464;4115705
4128;3945330;31420;6320;2421763;4115739
4129;1083240;109940;6520;2837951;4115754
4130;3287320;469400;7630;4211601;4115804
4131;1971360;56170;74;3939048;4115853
4132;2217080;21800;68;4587133;4115903
4133;902940;17860;7480;2136953;4116000
4134;3243970;107060;7110;3244653;4116059
4135;3537720;119660;6750;2542559;4116109
4136;68458;164850;6860;2042198;4116208
4137;1370180;40340;7260;2414809;4116307
4138;1857690;40090;7090;176251;4116406
4139;1312720;15600;7170;2747714;4116505
4140;1294760;34240;6980;214320;4116604
4141;4740110;101310;7330;5875555;4116703
4142;5554880;48270;6580;3611051;4116802
4143;4015870;280620;7220;2615504;4116901
4144;2084720;50140;7140;2129028;4116950
4145;2834230;81200;6880;3029871;4117008
4146;1210205;114620;6420;1753932;4117057
4147;2693890;131880;7580;2402621;4117107
4148;1363470;58460;71;1426318;4117206
4149;717640;43040;68;1966776;4117214
4150;2046650;83110;7310;4003557;4117222
4151;3525650;105400;7160;3107585;4117255
4152;5456860;52520;6510;2256221;4117271
4153;1614110;28360;71;2329538;4117297
4154;2429564;217830;6090;975053;4117305
4155;1764570;34230;72;3102149;4117404
4156;2930420;60360;7090;2957562;4117453
4157;1713790;422510;7160;2050839;4117503
4158;1557903;525030;66;2358847;4117602
4159;1470072;341090;7180;4239025;4117701
4160;8176470;127550;6390;1898246;4117800
4161;6512380;323890;7680;6964503;4117909
4162;2045640;142110;7460;2417933;4118006
4163;3486310;116850;7170;2820955;4118105
4164;8264310;1573780;75;6360654;4118204
4165;1758750;32770;7090;2101601;4118303
4166;1202266;894540;7630;3015282;4118402
4167;1356;57550;7470;298321;4118451
4168;5390870;847790;7820;468425;4118501
4169;4214090;59420;7170;4872745;4118600
4170;3698620;74180;7080;4199309;4118709
4171;4685940;140170;7230;234031;4118808
4172;40905;61940;7130;2998144;4118857
4173;2406350;114060;7;3039907;4118907
4174;2052790;62320;7260;2597388;4119004
4175;2547920;130150;6940;6303325;4119103
4176;608690;1347880;7510;4477358;4119152
4177;2206250;63230;6970;2486889;4119202
4178;974630;27420;6950;1894992;4119251
4179;2001588;327220;6540;4865061;4119301
4180;1345417;257790;7080;3157418;4119400
4181;2270420;1168520;7;1168104;4119509
4182;1663747;296860;7020;2916359;4119608
4183;1232290;32980;71;3043434;4119657
4184;3561920;42810;7050;2305969;4119707
4185;3462410;133850;7060;241119;4119806
4186;2054732;3588380;7630;4325334;4119905
4187;20041;285290;7380;9104466;4119954
4188;2916630;125870;7380;4263927;4120002
4189;1865810;48990;7;2496788;4120101
4190;36102;31330;6880;2999175;4120150
4191;2176760;25540;7350;2729122;4120200
4192;2130130;40570;6850;1576967;4120309
4193;1533990;38060;71;3516372;4120333
4194;22614;50350;7520;3685819;4120358
4195;1557340;53950;7130;2612594;4120408
4196;4144420;111380;7010;2699066;4120507
4197;2247141;527760;6760;2303131;4120606
4198;3218750;44200;71;5042058;4120655
4199;1126890;75040;7140;2398475;4120705
4200;1804710;242530;7420;6679552;4120804
4201;1143930;40430;7910;4428378;4120853
4202;8215030;347070;6810;3536099;4120903
4203;9147630;122570;6880;1947722;4121000
4204;3261770;44440;7150;3737212;4121109
4205;4470240;193880;68;207639;4121208
4206;2371960;45000;63;1859056;4121257
4207;1676460;37600;7070;3140648;4121307
4208;2413860;26020;7040;5256733;4121356
4209;3534160;169760;7220;3567476;4121406
4210;48184;149910;6720;2555697;4121505
4211;4252730;67720;7330;3748558;4121604
